Event_ID,Station,Date,Year,JulianDay,HF_Time,Swell_Time,SwellMetric,HF_Count,Swell_Count,Swell_Amp_Z,Swell_Amp_N,HF_Amp_Z,HF_Amp_N,Thresh_HF,Thresh_SwellZ
1,DR03,11/22/2014,2014,326,11/22/14 0:26,11/22/14 1:08,20.31111309,14,25,2.73E-06,3.15E-06,1.05E-05,6.75E-06,2.08E-05,7.39E-06
1,DR03,11/23/2014,2014,327,11/23/14 3:27,11/23/14 3:31,3.427917866,20,21,2.30E-06,1.99E-06,9.19E-09,1.20E-08,1.03E-07,7.17E-06
4,DR03,11/23/2014,2014,327,11/23/14 15:34,11/23/14 17:28,3.65929342,20,21,1.23E-06,1.32E-06,1.48E-08,2.12E-08,1.03E-07,7.17E-06
15,DR03,11/23/2014,2014,327,11/23/14 23:30,11/23/14 23:49,3.142573874,20,21,2.08E-06,8.92E-07,1.51E-08,2.12E-08,1.03E-07,7.17E-06
9,DR03,11/24/2014,2014,328,11/24/14 8:15,11/24/14 9:01,5.228473004,23,19,2.41E-06,2.14E-06,2.80E-08,4.04E-08,3.59E-07,6.87E-06
22,DR03,11/24/2014,2014,328,11/24/14 23:57,11/24/14 23:58,3.64401953,23,19,3.65E-06,1.46E-06,5.67E-08,8.10E-08,3.59E-07,6.87E-06
1,DR03,12/1/2014,2014,335,12/1/14 7:24,12/1/14 7:24,4.102459052,2,25,3.76E-06,2.62E-06,2.37E-08,3.47E-08,2.12E-07,7.85E-06
1,DR03,12/2/2014,2014,336,12/2/14 1:59,12/2/14 1:59,21.88095416,1,12,4.86E-05,2.43E-05,4.11E-07,4.59E-07,2.12E-06,1.38E-05
1,DR03,12/4/2014,2014,338,12/4/14 5:02,12/4/14 5:02,5.133282774,2,23,1.02E-05,5.09E-06,2.41E-07,3.64E-07,1.09E-06,5.88E-06
2,DR03,12/6/2014,2014,340,12/6/14 2:14,12/6/14 17:57,4.178592685,6,21,1.30E-06,7.38E-07,4.61E-08,6.45E-08,5.83E-07,9.40E-06
4,DR03,12/6/2014,2014,340,12/6/14 3:14,12/6/14 17:57,3.722887685,6,21,3.18E-06,1.52E-06,1.06E-07,1.30E-07,5.83E-07,9.40E-06
1,DR03,12/8/2014,2014,342,12/8/14 0:12,12/8/14 0:07,3.125513087,4,25,3.83E-06,2.94E-06,1.38E-08,2.00E-08,3.39E-07,1.01E-05
1,DR03,12/11/2014,2014,345,12/11/14 3:38,12/11/14 3:38,8.565735145,4,25,1.41E-05,5.32E-06,2.80E-07,3.94E-07,3.40E-06,1.22E-05
2,DR03,12/12/2014,2014,346,12/12/14 6:40,12/12/14 6:50,3.006309355,3,31,6.27E-06,3.92E-06,5.67E-08,5.04E-08,1.67E-07,1.44E-05
1,DR03,12/15/2014,2014,349,12/15/14 3:09,12/15/14 3:09,4.509793283,1,31,4.35E-05,2.36E-05,1.26E-06,1.63E-06,7.26E-06,5.50E-05
4,DR03,12/25/2014,2014,359,12/25/14 5:02,12/25/14 8:11,3.623125328,18,25,4.84E-06,2.90E-06,4.90E-08,8.64E-08,1.33E-06,1.97E-05
12,DR03,12/25/2014,2014,359,12/25/14 14:38,12/25/14 18:23,11.01736399,18,25,4.16E-06,2.86E-06,7.16E-08,1.08E-07,1.33E-06,1.97E-05
7,DR03,12/26/2014,2014,360,12/26/14 12:33,12/26/14 12:13,3.24020124,26,32,6.54E-06,4.95E-06,1.46E-07,1.82E-07,1.55E-06,2.87E-05
13,DR03,12/26/2014,2014,360,12/26/14 14:59,12/26/14 15:02,3.19785494,26,32,6.68E-06,4.36E-06,8.70E-08,1.34E-07,1.55E-06,2.87E-05
25,DR03,12/26/2014,2014,360,12/26/14 23:07,12/26/14 15:02,3.218092863,26,32,6.60E-06,4.54E-06,5.23E-08,8.34E-08,1.55E-06,2.87E-05
1,DR03,12/27/2014,2014,361,12/27/14 11:53,12/27/14 11:54,8.00322733,2,12,5.92E-05,3.40E-05,8.23E-07,1.30E-06,9.96E-06,3.41E-05
2,DR03,12/27/2014,2014,361,12/27/14 11:55,12/27/14 11:55,9.567732562,2,12,0.000133843,7.57E-05,1.96E-06,2.78E-06,9.96E-06,3.41E-05
3,DR03,1/1/2015,2015,1,1/1/15 8:27,1/1/15 8:28,3.096361831,6,28,9.64E-06,3.16E-06,1.66E-07,7.44E-08,4.02E-07,1.54E-05
13,DR03,1/7/2015,2015,7,1/7/15 17:16,1/7/15 8:50,5.054659044,13,29,1.59E-05,5.64E-06,1.28E-07,8.79E-08,7.54E-07,6.13E-05
3,DR03,1/10/2015,2015,10,1/10/15 16:10,1/10/15 16:10,5.111083557,4,22,1.80E-05,8.54E-06,6.07E-07,6.54E-07,3.72E-06,1.72E-05
